Case study nb,Reference,Qualitative expert prediction,Taxonomy 1=plant/algae 2=invertebrate 3=vertebrate,Habitat 1=marine intertidal 2=marine subtidal 3=river/stream 4=lake/pond,Log10 area (m2),Status 1=introduced 2=established 3=invasive,Method 1=mechanical 2=chemical 3=biological 4=combination,Containment 0=no 1=yes,Duration (years),Outcome 0=non-eradication 1=eradication,MIPE prediction (independent probability of eradication returned by a model including all case studies on this sheet excluding the case study for which the prediction is made),Lower 95% confidence limit for MIPE's prediction,Upper 95% confidence limit for MIPE's prediction,
11,"Wimbush J, Frischer ME, Zarzynski JW, and Nierzwicki-Bauer SA. 2009. Eradication of colonizing populaitons of zebra mussels (Dreissena polymorpha) by early detection and SCUBA removal: Lake George, NY. Aquatic Conservation: Marine and Freshwater Ecosystems 19: 703-713. ",Veryunlikely,2,4,3.591064607,1,1,0,7,1,0.79,0.24,0.98
11,"Wimbush J, Frischer ME, Zarzynski JW, and Nierzwicki-Bauer SA. 2009. Eradication of colonizing populaitons of zebra mussels (Dreissena polymorpha) by early detection and SCUBA removal: Lake George, NY. Aquatic Conservation: Marine and Freshwater Ecosystems 19: 703-713. ",Veryunlikely,2,4,3.591064607,1,1,0,7,1,0.79,0.24,0.98
11,"Wimbush J, Frischer ME, Zarzynski JW, and Nierzwicki-Bauer SA. 2009. Eradication of colonizing populaitons of zebra mussels (Dreissena polymorpha) by early detection and SCUBA removal: Lake George, NY. Aquatic Conservation: Marine and Freshwater Ecosystems 19: 703-713. ",Veryunlikely,2,4,3.591064607,1,1,0,7,1,0.79,0.24,0.98
12,"Culver CS, and Kuris AM. 2000. The apparent eradication of a locally established introduced marine pest. Biological Invasions 2: 245-253",Likely,2,1,3.176091259,2,1,0,3.25,1,0.45,0.10,0.85
12,"Culver CS, and Kuris AM. 2000. The apparent eradication of a locally established introduced marine pest. Biological Invasions 2: 245-253",Unlikely,2,1,3.176091259,2,1,0,3.25,1,0.45,0.10,0.85
12,"Culver CS, and Kuris AM. 2000. The apparent eradication of a locally established introduced marine pest. Biological Invasions 2: 245-253",Veryunlikely,2,1,3.176091259,2,1,0,3.25,1,0.45,0.10,0.85
14,"Ferguson R. 2000. The effectiveness of Australia's response to the black striped mussel incursion in Darwin, Australia. Report of the Department of Environment and Heritage, Australia. 75pp",Veryunlikely,2,2,2.301029996,2,2,1,1.5,1,0.43,0.05,0.92
15,"Ferguson R. 2000. The effectiveness of Australia's response to the black striped mussel incursion in Darwin, Australia. Report of the Department of Environment and Heritage, Australia. 75pp",Likely,2,2,2.093421685,1,2,1,1.5,1,0.98,0.81,1.00
15,"Ferguson R. 2000. The effectiveness of Australia's response to the black striped mussel incursion in Darwin, Australia. Report of the Department of Environment and Heritage, Australia. 75pp",Likely,2,2,2.093421685,1,2,1,1.5,1,0.98,0.81,1.00
15,"Ferguson R. 2000. The effectiveness of Australia's response to the black striped mussel incursion in Darwin, Australia. Report of the Department of Environment and Heritage, Australia. 75pp",Likely,2,2,2.093421685,1,2,1,1.5,1,0.98,0.81,1.00
